block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
4385_20K,crane,19,51,969,969.0,19.46968100000001,51.060002,31.812927000000002,77953,49983,1.43890380859375,0.1907358169555664
4385_20Y,crane,98,51,4998,4998.0,98.06424000000001,51.070004,31.815997,436070,272756,7.6280517578125,1.6604957580566406
4385_242_000,trestle,21,20,420,420.0,20.654968000000054,20.15191,6.130477,24149,15425,0.46630859375,0.057419776916503906
4385_252_000,trestle,21,14,294,294.0,20.654968000000054,14.470272000000001,6.128269,15531,9873,0.314697265625,0.03900766372680664
4385_282_000,trestle,21,13,273,273.0,20.676787999999988,13.055691999999999,6.807843999999999,13751,8887,0.266632080078125,0.033525943756103516
4385_292_000,trestle,21,13,273,273.0,20.676787999999988,13.055691999999999,6.806416,13808,8875,0.2634124755859375,0.03253769874572754
4385_629_000,trestle,17,6,102,102.0,16.981049000000013,5.7735009999999996,20.910789,13184,8409,0.25927734375,0.05178260803222656
4385_639_000,trestle,17,6,102,102.0,16.708054000000004,5.7735009999999996,20.900351,13070,8464,0.26019287109375,0.043059587478637695
4385_642_000,trestle,21,4,84,84.0,20.651184,3.6133500000000005,9.312907,3925,2447,0.0837249755859375,0.015554428100585938
4385_643_000,trestle,22,8,176,176.0,21.862914999999987,8.474853,9.313483999999999,13370,7753,0.2720794677734375,0.03933286666870117
4385_644_000,trestle,22,18,396,396.0,21.84609999999998,17.991393,9.335949,22620,13136,0.53802490234375,0.058855295181274414
4385_652_000,trestle,21,4,84,84.0,20.651184,3.6133500000000005,9.313110000000002,3909,2387,0.0800628662109375,0.014490604400634766
4385_653_000,trestle,22,8,176,176.0,21.864806999999985,8.474842000000002,9.313485,13413,7706,0.2684173583984375,0.033785104751586914
4385_654_000,trestle,22,18,396,396.0,21.84609999999998,17.991395,9.335951000000001,22362,12945,0.5365753173828125,0.05887198448181152
4385_682_000,trestle,21,10,210,210.0,20.666472999999996,10.093464999999998,5.880232999999999,10603,6405,0.2228240966796875,0.03575634956359863
4385_683_000,trestle,22,15,330,330.0,21.865967000000012,15.145712,6.792319000000001,15196,9452,0.3128204345703125,0.03616070747375488
4385_692_000,trestle,21,10,210,210.0,20.666472999999996,10.093497,5.880005000000002,10533,6348,0.21954345703125,0.03296232223510742
4385_693_000,trestle,22,15,330,330.0,21.865967000000012,15.14571,6.7930199999999985,15291,9484,0.314208984375,0.03813481330871582
4386_183_000,trestle,3,21,63,63.0,2.538214,21.29243,7.875913000000001,4677,2761,0.106719970703125,0.015231609344482422
4386_193_000,trestle,3,20,60,60.0,2.538214,19.592431,7.875847,4144,2436,0.0960693359375,0.014029741287231445
4386_20A,crane,217,511,110887,110887.0,216.70086700000002,510.700043,319.432341,55075,58611,1.3931121826171875,0.2751805782318115
4386_20B,crane,19,51,969,969.0,19.051499000000007,51.070004,26.718911000000002,34178,21433,0.5656585693359375,0.07797741889953613
4386_20C,crane,19,51,969,969.0,18.65146700000001,50.894622,31.814996,81317,48228,1.291046142578125,0.17739629745483398
4386_20D,crane,208,511,106288,106288.0,208.01208500000007,510.700043,318.160059,214782,173254,3.684051513671875,1.505967140197754
4386_20E,crane,19,51,969,969.0,19.201767000000018,51.070004,29.981004,52130,35874,0.902252197265625,0.1290428638458252
4386_20F,crane,17,44,748,748.0,17.32630900000001,44.316572,29.579034,83986,45541,1.2974853515625,0.1726362705230713
4386_20G,crane,3,44,132,132.0,2.776320999999996,44.316524,29.574496,38810,20122,0.5990447998046875,0.08583378791809082
4386_20H,crane,37,51,1887,1887.0,37.367355,51.035882,22.9905,228959,141598,4.096710205078125,0.6230170726776123
4386_20K,crane,19,51,969,969.0,19.46968100000001,51.060002,31.813015,113104,68390,1.9110107421875,0.26514410972595215
4386_282_000,trestle,21,13,273,273.0,20.676787999999988,13.055691999999999,6.807105000000001,13080,7908,0.24505615234375,0.03989553451538086
