🚀 2D BLOCK PROCESSING REPORT
==================================================

📊 PROCESSING STATISTICS
------------------------------
Total files: 446
Successful: 446
Failed: 0
Skipped: 0
Success rate: 100.0%

📦 PROCESSED BLOCKS
------------------------------
4392_20H             | crane    | 17×26 | 442 cells | 3.0s
4392_20K             | crane    | 10×26 | 260 cells | 2.1s
4392_20L             | crane    | 10×26 | 260 cells | 2.5s
4392_20Y             | crane    | 49×26 | 1274 cells | 10.0s
4392_283_000         | trestle  | 11× 7 |  77 cells | 1.5s
4392_293_000         | trestle  | 11× 7 |  77 cells | 1.5s
4392_628_000         | trestle  | 10× 3 |  30 cells | 1.4s
4392_629_000         | trestle  |  8× 3 |  24 cells | 1.5s
4392_638_000         | trestle  | 10× 3 |  30 cells | 1.5s
4392_639_000         | trestle  |  8× 3 |  24 cells | 1.5s
4392_643_000         | trestle  | 11× 4 |  44 cells | 1.6s
4392_644_000         | trestle  | 11× 9 |  99 cells | 1.5s
4392_653_000         | trestle  | 11× 4 |  44 cells | 1.5s
4392_654_000         | trestle  | 11× 9 |  99 cells | 1.5s
4392_663_000         | trestle  | 11× 8 |  88 cells | 1.6s
4392_673_000         | trestle  | 11× 8 |  88 cells | 1.5s
4392_683_000         | trestle  | 11× 8 |  88 cells | 1.4s
4392_693_000         | trestle  | 11× 8 |  88 cells | 1.5s
4393_126_000         | trestle  |  7× 3 |  21 cells | 1.5s
4393_136_000         | trestle  |  7× 3 |  21 cells | 1.5s
4393_20F             | crane    |  9×26 | 234 cells | 2.1s
4393_20G             | crane    | 11×26 | 286 cells | 2.4s
4393_20H             | crane    | 17×26 | 442 cells | 3.1s
