block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
4388_673_000,trestle,11,8,88,352.0,21.88214099999999,15.732179999999998,6.841145999999998,15891,9083,0.3220062255859375,1.4729273319244385
4388_674_000,trestle,11,9,99,396.0,21.88122500000003,18.564641,6.822426,15927,9013,0.2991943359375,1.5688598155975342
4388_683_000,trestle,11,8,88,352.0,21.87912,15.063950000000002,6.790341999999999,15006,9002,0.3226470947265625,1.4770166873931885
4388_693_000,trestle,11,8,88,352.0,21.87912,15.063948,6.790343999999999,14971,8981,0.3233642578125,1.5025808811187744
4389_126_000,trestle,7,3,21,84.0,14.150002,6.360000000000003,9.312825,4608,2688,0.09075927734375,1.4117491245269775
4389_136_000,trestle,7,3,21,84.0,14.150002,6.360000999999997,9.313323999999998,4736,2707,0.0911712646484375,1.5064613819122314
4389_149_000,trestle,7,2,14,56.0,14.600944999999996,3.532821000000002,15.104118999999997,6657,3862,0.11968994140625,1.4683828353881836
4389_159_000,trestle,7,2,14,56.0,14.600944999999996,3.5328219999999995,15.104110000000002,6378,3649,0.1134796142578125,1.4688746929168701
4389_162_000,trestle,11,2,22,88.0,21.850488999999996,3.531549000000002,12.209829000000003,6503,4057,0.130859375,1.5123639106750488
4389_172_000,trestle,11,2,22,88.0,21.850488999999996,3.5315499999999993,12.209829000000003,6557,4066,0.130523681640625,1.4102327823638916
4389_20F,crane,9,26,234,936.0,18.75624099999999,51.050003000000004,31.814998,188429,115706,3.1221923828125,2.7451696395874023
4389_20G,crane,10,26,260,1040.0,20.709350999999998,51.050003000000004,31.814998,126617,80557,2.202667236328125,2.3738484382629395
4389_20H,crane,17,26,442,1768.0,34.914063,51.038782,21.259468,152195,92110,2.624908447265625,2.4616899490356445
